                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0747,                0.91478,                 1.3628,                0.73663,                0.76106,                0.78597,                0.48683,                 1.4202,                 1.2314,                 1.8963,              0.0099663,              0.0099663,              0.0099663
                     36,                 1.1189,                0.94681,                 1.3994,                0.80834,                0.81797,                0.89988,                0.58744,                 1.2078,                0.82296,                 1.5835,              0.0099654,              0.0099654,              0.0099654
                     37,                 1.1093,                0.92346,                 1.3679,                0.87332,                0.85173,                0.91767,                 0.6207,                 1.1829,                0.80069,                 1.5443,              0.0099644,              0.0099644,              0.0099644
                     38,                 1.0878,                0.90658,                 1.3603,                0.83995,                0.89264,                0.92913,                0.62595,                 1.1307,                0.77426,                 1.5037,              0.0099634,              0.0099634,              0.0099634
                     39,                 1.0594,                0.86341,                  1.347,                 0.9124,                0.87374,                 0.9471,                0.63385,                  1.139,                0.71228,                 1.5085,              0.0099624,              0.0099624,              0.0099624
                     40,                  1.089,                0.90076,                  1.361,                0.88514,                0.87592,                0.92693,                 0.5909,                 1.2146,                0.85533,                 1.6025,              0.0099614,              0.0099614,              0.0099614
                     41,                 1.0715,                0.88988,                  1.355,                0.87276,                0.90287,                0.94934,                0.62732,                 1.1195,                0.71328,                 1.5475,              0.0099604,              0.0099604,              0.0099604
                     42,                 1.0551,                0.85949,                 1.3302,                0.87624,                0.74958,                0.89021,                0.59284,                  1.175,                0.83952,                  1.575,              0.0099594,              0.0099594,              0.0099594
                     43,                 1.0602,                0.86381,                 1.3484,                0.88423,                0.83223,                0.90421,                0.59186,                 1.2012,                0.88635,                 1.5637,              0.0099584,              0.0099584,              0.0099584
                     44,                 1.0524,                0.86429,                 1.3269,                0.81913,                0.87247,                0.92981,                0.62373,                 1.1268,                0.74954,                 1.4868,              0.0099574,              0.0099574,              0.0099574
                     45,                 1.0309,                0.84878,                 1.3258,                 0.8969,                0.90676,                0.93762,                0.62666,                 1.0873,                 0.7393,                 1.4835,              0.0099564,              0.0099564,              0.0099564
                     46,                 1.0485,                0.86346,                 1.3411,                0.86289,                0.83793,                0.90572,                0.58854,                 1.2137,                0.81296,                 1.5984,              0.0099555,              0.0099555,              0.0099555
                     47,                 1.0252,                0.83856,                 1.3193,                0.85662,                0.87482,                0.92945,                0.64301,                 1.0992,                0.71844,                 1.4509,              0.0099545,              0.0099545,              0.0099545
                     48,                 1.0298,                0.84286,                 1.3034,                0.88415,                0.80526,                 0.9216,                 0.6076,                 1.1669,                0.79008,                  1.559,              0.0099535,              0.0099535,              0.0099535
                     49,                 1.0069,                0.83339,                 1.3013,                0.88502,                0.85588,                0.91263,                0.61704,                 1.1449,                0.78997,                 1.5611,              0.0099525,              0.0099525,              0.0099525
                     50,                  1.021,                0.81316,                 1.3103,                0.85006,                0.85527,                0.94729,                0.63258,                 1.1035,                0.71714,                 1.5276,              0.0099515,              0.0099515,              0.0099515
                     51,                 1.0118,                0.81728,                 1.3077,                0.89928,                0.90986,                0.93613,                0.62704,                 1.1712,                0.73203,                  1.553,              0.0099505,              0.0099505,              0.0099505
                     52,                 1.0272,                 0.8178,                 1.3214,                0.85236,                0.85991,                0.91416,                0.60541,                 1.1618,                0.74899,                 1.5452,              0.0099495,              0.0099495,              0.0099495
                     53,                0.96708,                0.78634,                 1.2842,                0.87025,                 0.8503,                0.94554,                0.62408,                 1.1466,                0.75483,                 1.5276,              0.0099485,              0.0099485,              0.0099485
                     54,                 1.0257,                0.82303,                 1.3159,                0.90649,                0.88778,                0.93559,                0.64626,                 1.1019,                0.69598,                 1.4878,              0.0099475,              0.0099475,              0.0099475
                     55,                 1.0001,                0.79953,                 1.2974,                0.88213,                0.92637,                0.95218,                0.64532,                  1.121,                0.70663,                 1.4962,              0.0099465,              0.0099465,              0.0099465
                     56,                 1.0142,                0.79296,                 1.3102,                0.88818,                0.84178,                0.94292,                0.62716,                  1.145,                0.71737,                 1.5186,              0.0099456,              0.0099456,              0.0099456
                     57,                 1.0044,                0.78953,                 1.3083,                0.88678,                  0.896,                0.93152,                 0.6337,                 1.1347,                0.69349,                  1.503,              0.0099446,              0.0099446,              0.0099446
                     58,                 0.9911,                0.77447,                 1.2875,                 0.9107,                0.90582,                0.92918,                 0.6402,                 1.1188,                0.71301,                  1.516,              0.0099436,              0.0099436,              0.0099436
                     59,                0.98036,                0.75794,                 1.2726,                0.93688,                0.87806,                0.94819,                 0.6227,                 1.1813,                0.72146,                  1.551,              0.0099426,              0.0099426,              0.0099426
                     60,                0.97952,                0.76623,                 1.2879,                0.93642,                0.91084,                0.96144,                0.62171,                 1.1697,                0.64748,                 1.5682,              0.0099416,              0.0099416,              0.0099416
                     61,                0.99332,                0.79601,                 1.2906,                0.88796,                0.91532,                0.93529,                0.63126,                 1.1356,                0.71659,                 1.5178,              0.0099406,              0.0099406,              0.0099406
                     62,                0.96983,                0.78285,                 1.2826,                0.87949,                0.89969,                0.94271,                0.63183,                 1.1532,                 0.7061,                 1.5573,              0.0099396,              0.0099396,              0.0099396
                     63,                0.95966,                0.73721,                 1.2736,                0.90424,                0.88682,                0.94525,                0.61723,                 1.1557,                0.69109,                 1.5402,              0.0099386,              0.0099386,              0.0099386
                     64,                0.95739,                0.77686,                 1.2773,                0.94277,                0.86202,                0.94757,                0.64518,                 1.1154,                0.66078,                 1.4915,              0.0099376,              0.0099376,              0.0099376
                     65,                0.97511,                0.75857,                 1.2835,                0.86282,                0.93164,                0.94337,                 0.6149,                 1.1394,                  0.667,                 1.5153,              0.0099366,              0.0099366,              0.0099366
                     66,                0.95689,                0.74471,                 1.2631,                0.90911,                0.91409,                0.93122,                0.62231,                 1.1318,                0.67399,                 1.5476,              0.0099357,              0.0099357,              0.0099357
                     67,                 0.9374,                0.73648,                 1.2591,                0.90286,                0.89679,                0.94889,                0.62407,                 1.1622,                0.67868,                   1.55,              0.0099347,              0.0099347,              0.0099347
                     68,                 0.9298,                  0.734,                 1.2489,                0.88567,                0.91761,                 0.9412,                0.61321,                 1.1656,                0.67019,                   1.55,              0.0099337,              0.0099337,              0.0099337
                     69,                 0.9595,                 0.7441,                 1.2598,                0.93937,                 0.9253,                0.95436,                0.64323,                 1.1518,                0.65256,                 1.5475,              0.0099327,              0.0099327,              0.0099327
                     70,                0.93642,                0.72335,                 1.2475,                 0.8965,                0.87395,                0.92042,                0.60896,                 1.1885,                0.72089,                 1.5819,              0.0099317,              0.0099317,              0.0099317
                     71,                0.95543,                0.73717,                 1.2628,                  0.921,                0.87309,                0.92412,                0.62894,                 1.1219,                0.68226,                 1.4937,              0.0099307,              0.0099307,              0.0099307
                     72,                 0.9228,                0.73693,                 1.2395,                 0.8908,                0.89289,                0.91901,                0.60166,                 1.1709,                0.70649,                 1.5941,              0.0099297,              0.0099297,              0.0099297
                     73,                0.94577,                0.72083,                 1.2597,                0.87797,                0.87219,                0.94046,                0.62026,                 1.1623,                0.70233,                 1.5698,              0.0099287,              0.0099287,              0.0099287
                     74,                0.95221,                0.72527,                 1.2691,                0.86228,                0.91649,                0.94515,                 0.6402,                  1.111,                0.64911,                 1.5181,              0.0099277,              0.0099277,              0.0099277
                     75,                0.93678,                0.71699,                 1.2569,                0.90224,                0.90041,                 0.9483,                0.65428,                 1.1095,                0.64444,                 1.5081,              0.0099267,              0.0099267,              0.0099267
                     76,                 0.9265,                0.71684,                 1.2562,                0.86856,                0.89293,                0.93348,                0.61342,                 1.1444,                0.65967,                 1.5492,              0.0099258,              0.0099258,              0.0099258
                     77,                 0.9169,                0.69467,                 1.2325,                0.89638,                0.90427,                0.93317,                0.63598,                 1.1286,                0.63738,                 1.5488,              0.0099248,              0.0099248,              0.0099248
                     78,                0.92176,                0.69337,                 1.2375,                0.86093,                0.92344,                0.93412,                0.61602,                  1.174,                0.69275,                 1.5432,              0.0099238,              0.0099238,              0.0099238
                     79,                0.94334,                0.73499,                 1.2632,                0.85388,                0.83381,                0.90465,                0.61151,                 1.1609,                0.75696,                 1.5495,              0.0099228,              0.0099228,              0.0099228
                     80,                0.91232,                0.70932,                 1.2378,                0.91382,                0.90194,                0.93352,                0.62115,                 1.1178,                0.67555,                 1.5108,              0.0099218,              0.0099218,              0.0099218
                     81,                 0.9251,                0.70278,                 1.2513,                0.88816,                0.88874,                0.93905,                0.64323,                 1.1212,                0.63087,                 1.5158,              0.0099208,              0.0099208,              0.0099208
                     82,                0.90634,                0.67145,                 1.2443,                0.92669,                0.89725,                0.94073,                0.65386,                 1.0913,                0.61243,                 1.4898,              0.0099198,              0.0099198,              0.0099198
                     83,                0.89456,                0.67889,                 1.2361,                0.91271,                0.88932,                0.93443,                0.62296,                 1.1901,                0.66631,                 1.6044,              0.0099188,              0.0099188,              0.0099188
                     84,                 0.8997,                 0.6714,                  1.243,                0.93991,                0.87395,                 0.9434,                0.63576,                 1.1728,                 0.6648,                 1.5799,              0.0099178,              0.0099178,              0.0099178
                     85,                0.86492,                0.68552,                 1.2163,                0.92123,                0.91397,                0.94572,                0.65704,                 1.1057,                0.64589,                 1.5255,              0.0099168,              0.0099168,              0.0099168
                     86,                0.90625,                0.68001,                 1.2226,                 0.9197,                 0.9167,                  0.943,                0.64855,                 1.0881,                0.63949,                 1.4815,              0.0099159,              0.0099159,              0.0099159
                     87,                0.87877,                0.66122,                 1.2222,                0.90816,                0.89019,                0.94409,                0.63273,                 1.1495,                0.66756,                 1.5557,              0.0099149,              0.0099149,              0.0099149
                     88,                0.88633,                0.68195,                 1.2179,                0.90705,                0.89696,                0.95235,                0.66749,                 1.0549,                0.64066,                 1.4566,              0.0099139,              0.0099139,              0.0099139
                     89,                0.90964,                0.67498,                 1.2253,                0.93943,                0.89226,                0.94128,                0.64668,                 1.1256,                0.63273,                 1.4921,              0.0099129,              0.0099129,              0.0099129
                     90,                0.88064,                0.66334,                 1.2253,                0.90336,                0.90166,                  0.927,                0.63442,                 1.1356,                0.66616,                 1.5545,              0.0099119,              0.0099119,              0.0099119
                     91,                0.89449,                0.67412,                 1.2403,                0.89678,                 0.8882,                0.93926,                0.64103,                 1.1088,                 0.6699,                 1.5282,              0.0099109,              0.0099109,              0.0099109
